Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Injuries
Accident,CHI97LA062,1997-01-31,"FORT WAYNE, IN",United States,Non-Fatal,Substantial,unknown,cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,0.0
Accident,ATL97LA036,1997-01-31,"WIGGINS, MS",United States,Non-Fatal,Substantial,unknown,robinson,R22,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Maneuvering,0.0
Accident,FTW97LA098,1997-02-01,"WAXAHACHIE, TX",United States,Non-Fatal,Destroyed,unknown,cessna,172E,No,1.0,Reciprocating,Instructional,0.0,0.0,2.0,0.0,VMC,Takeoff,2.0
Accident,ATL97FA034,1997-02-01,"TRINITY, AL",United States,Fatal(2),Destroyed,unknown,cessna,A150L,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,2.0
Accident,ANC97LA025,1997-02-01,"SKWENTNA, AK",United States,Fatal(3),Destroyed,unknown,piper,PA-22,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Cruise,3.0
Accident,MIA97WA089,1997-02-01,"VALPARAISO, CHILE",Chile,Non-Fatal,Substantial,unknown,piper,PA-18,No,0.0,Unknown,Unknown,0.0,0.0,1.0,0.0,VMC,unknown,1.0
Accident,SEA97LA055,1997-02-01,"BANDON, OR",United States,Non-Fatal,Substantial,unknown,champion,7ECA,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Taxi,0.0
Accident,MIA97LA080,1997-02-01,"SARASOTA, FL",United States,Non-Fatal,Substantial,unknown,piper,PA-30,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,0.0
Accident,MIA97LA079,1997-02-01,"ORLANDO, FL",United States,Non-Fatal,Substantial,unknown,beech,V35,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,MIA97LA078,1997-02-01,"VALKARIA, FL",United States,Non-Fatal,Substantial,unknown,richards,VELOCITY 173 RG,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,0.0
Accident,MIA97LA077,1997-02-01,"MONROE, NC",United States,Fatal(1),Substantial,unknown,beech,95-B55,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,Approach,1.0
Accident,CHI97LA064,1997-02-01,"DOWAGIAC, MI",United States,Non-Fatal,Substantial,unknown,cessna,150G,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,CHI97LA061,1997-02-01,"EL DORADO, KS",United States,Non-Fatal,Substantial,unknown,cessna,182K,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,SEA97LA056,1997-02-02,"MOORCROFT, WY",United States,Non-Fatal,Substantial,unknown,piper,PA-18-150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,0.0
Accident,NYC97LA052,1997-02-02,"CINCINNATI, OH",United States,Non-Fatal,Substantial,unknown,piper,J3C-65,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,NYC97LA050,1997-02-02,"YORK, PA",United States,Non-Fatal,Substantial,unknown,berry,VANS RV-4,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Go-around,0.0
Accident,MIA97LA081,1997-02-02,"ST. MARY'S, GA",United States,Non-Fatal,Substantial,unknown,cessna,A150L,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Maneuvering,2.0
Accident,LAX97LA096,1997-02-02,"PAYSON, AZ",United States,Non-Fatal,Substantial,unknown,beech,N35,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,2.0
Accident,CHI97LA063,1997-02-02,"MARSHALL, MN",United States,Non-Fatal,Substantial,unknown,beech,B200,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,5.0,VMC,Landing,0.0
Accident,FTW97FA100,1997-02-03,"LONE WOLF, OK",United States,Fatal(3),Destroyed,unknown,piper,PA-28-200,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Maneuvering,3.0
Accident,FTW97FA099,1997-02-03,"MORIARTY, NM",United States,Fatal(2),Substantial,unknown,aeronca,65-TC,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Takeoff,2.0
Accident,ATL97LA038,1997-02-03,"PALATKA, FL",United States,Non-Fatal,Substantial,unknown,beech,23,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,IAD97LA046,1997-02-04,"CHESAPEAKE, OH",United States,Non-Fatal,Substantial,unknown,cessna,172P,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,0.0
Accident,FTW97RA101,1997-02-05,"SANTA CATARINA, Mexico",Mexico,Fatal(1),Destroyed,unknown,beech,23,No,0.0,Unknown,Personal,1.0,0.0,0.0,0.0,IMC,unknown,1.0
Accident,SEA97LA058,1997-02-05,"CEDAR CITY, UT",United States,Non-Fatal,Substantial,unknown,cessna,421C,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Approach,0.0
Accident,CHI97FA067,1997-02-06,"LARCHWOOD, IA",United States,Fatal(1),Destroyed,unknown,cessna,150,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,1.0
Accident,DCA97LA027,1997-02-06,"ST JOHN ANTIGUA, ANTIGUA AND BARBUDA",Antigua And Barbuda,Non-Fatal,Substantial,unknown,airbus industrie,A-300-600R,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,170.0,VMC,Landing,0.0
Accident,SEA97LA059,1997-02-06,"MADRAS, OR",United States,Non-Fatal,Substantial,unknown,cessna,172N,No,1.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,IMC,Maneuvering,3.0
Accident,ATL97LA037,1997-02-06,"KEY WEST, FL",United States,Non-Fatal,Substantial,unknown,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,0.0
Accident,ANC97FA026,1997-02-07,"CIRCLE, AK",United States,Fatal(1),Destroyed,unknown,piper,PA-18,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Takeoff,1.0
Accident,MIA97LA084,1997-02-07,"HOMOSASSA, FL",United States,Non-Fatal,Substantial,unknown,hughes,269A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,UNK,Takeoff,0.0
